Nome,Time/Jogador,Posição
André Coxinha ,Pedro/Flamengo ,ARTILHEIRO / CLUBE
André Coxinha ,Palmeiras, [1º]
André Coxinha ,Flamengo, [2º]
André Coxinha ,Internacional, [3º]
André Coxinha ,Atlético Mineiro, [4º]
André Coxinha ,Corinthians, [5º]
André Coxinha ,Fortaleza, [6º]
André Coxinha ,Vasco da Gama, [17º]
André Coxinha ,Vitória, [18º]
André Coxinha ,Sport, [19º]
André Coxinha ,Mirassol, [20º]
Bela,Pedro / Flamengo,ARTILHEIRO / CLUBE
Bela,Palmeiras, [1º]
Bela,Flamengo, [2º]
Bela,Internacional, [3º]
Bela,Atlético Mineiro, [4º]
Bela,Corinthians, [5º]
Bela,Botafogo, [6º]
Bela,Ceará, [17º]
Bela,Mirassol, [18º]
Bela,Juventude, [19º]
Bela,Vitória, [20º]
Buraco,Lucas Moura ,ARTILHEIRO / CLUBE
Buraco,Flamengo, [1º]
Buraco,Corinthians, [2º]
Buraco,Atlético Mineiro, [3º]
Buraco,Palmeiras, [4º]
Buraco,São Paulo, [5º]
Buraco,Internacional, [6º]
Buraco,Red Bull Bragantino, [17º]
Buraco,Juventude, [18º]
Buraco,Vitória, [19º]
Buraco,Sport, [20º]
Celtraveco,Guilherme/Santos,ARTILHEIRO / CLUBE
Celtraveco,Flamengo, [1º]
Celtraveco,Palmeiras, [2º]
Celtraveco,Internacional, [3º]
Celtraveco,Corinthians, [4º]
Celtraveco,Fortaleza, [5º]
Celtraveco,São Paulo, [6º]
Celtraveco,Juventude, [17º]
Celtraveco,Ceará, [18º]
Celtraveco,Mirassol, [19º]
Celtraveco,Vitória, [20º]
Cléo,Hulk,ARTILHEIRO / CLUBE
Cléo,Flamengo, [1º]
Cléo,Palmeiras, [2º]
Cléo,Internacional, [3º]
Cléo,Atlético Mineiro, [4º]
Cléo,Corinthians, [5º]
Cléo,Bahia, [6º]
Cléo,Red Bull Bragantino, [17º]
Cléo,Juventude, [18º]
Cléo,Sport, [19º]
Cléo,Mirassol, [20º]
Confete,Guilherme,ARTILHEIRO / CLUBE
Confete,Flamengo, [1º]
Confete,Botafogo, [2º]
Confete,Palmeiras, [3º]
Confete,Internacional, [4º]
Confete,Atlético Mineiro, [5º]
Confete,Grêmio, [6º]
Confete,Ceará, [17º]
Confete,Vitória, [18º]
Confete,Sport, [19º]
Confete,Mirassol, [20º]
Donatello,Hulk/ Atlético Mg,ARTILHEIRO / CLUBE
Donatello,Flamengo, [1º]
Donatello,Atlético Mineiro, [2º]
Donatello,Santos, [3º]
Donatello,Palmeiras , [4º]
Donatello,São Paulo, [5º]
Donatello,Internacional, [6º]
Donatello,Vitória, [17º]
Donatello,Sport, [18º]
Donatello,Juventude, [19º]
